# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      119     0.00000     0.8590E+01     1.000     4   4.7340
      120     0.00000     0.5184E+01     2.000     4   4.7351
      121     0.00000     0.3747E+01     2.000     4   4.7353
      122     0.00000     0.8569E+01     1.000     4   4.7361
      123     0.00000     0.1326E+02     2.000     4   4.7375
      124     0.00000     0.3748E+01     1.000     4   4.7433
      125     0.00000     0.1701E+02     1.000     4   4.7458
      126     0.00000     0.3165E+01     1.000     4   4.7500
      127     0.00000     0.4754E+01     1.000     4   4.7549
      128     0.00000     0.4809E+01     1.000     4   4.7553
      129     0.00000     0.3402E+01     1.000     4   4.7647
      130     0.00000     0.3263E+01     2.000     3   4.7717
      131     0.00000     0.1479E+02     2.000     4   4.7788
      132     0.00000     0.1446E+02     2.000     4   4.7822
      133     0.00000     0.6339E+01     1.000     4   4.7920
      134     0.00000     0.2822E+01     2.000     4   4.7926
      135     0.00000     0.6425E+01     2.000     4   4.7954
      136     0.00000     0.6507E+01     2.000     4   4.7968
      137     0.00000     0.5054E+01     1.000     4   4.7989
      138     0.00000     0.5740E+01     1.000     4   4.7999
      139     0.00000     0.8862E+01     2.000     5   4.7998
      140     0.00000     0.6778E+01     2.000     4   4.8152
      141     0.00000     0.3564E+01     1.000     2   4.8192
      142     0.00000     0.2861E+02     2.000     5   4.8212
      143     0.00000     0.4955E+01     1.000     4   4.8279
      144     0.00000     0.6342E+01     2.000     4   4.8288
      145     0.00000     0.6117E+01     1.000     4   4.8298
      147     0.00000     0.3830E+02     2.000     5   4.8301
      148     0.00000     0.8465E+01     2.000     5   4.8448
      149     0.00000     0.2860E+02     2.000     5   4.8470
      150     0.00000     0.3005E+01     1.000     4   4.8514
      151     0.00000     0.3427E+01     2.000     4   4.8524
      152     0.00000     0.3465E+02     2.000     5   4.8576
      153     0.00000     0.6197E+01     2.000     4   4.8622
      154     0.00000     0.7863E+01     2.000     4   4.8836
      155     0.00000     0.5024E+01     2.000     4   4.8854
      156     0.00000     0.3286E+01     2.000     4   4.8868
      157     0.00000     0.5972E+01     2.000     4   4.9045
      158     0.00000     0.7576E+01     2.000     4   4.9066
      159     0.00000     0.4077E+01     2.000     3   4.9073
      160     0.00000     0.8196E+01     2.000     3   4.9114
      161     0.00000     0.3369E+01     1.000     2   4.9126
      162     0.00000     0.1289E+02     2.000     3   4.9193
      163     0.00000     0.3783E+01     2.000     4   4.9225
      164     0.00000     0.8575E+01     2.000     5   4.9278
      165     0.00000     0.5708E+01     2.000     5   4.9363
      166     0.00000     0.8866E+01     2.000     5   4.9381
      167     0.00000     0.3305E+01     1.000     2   4.9447
      168     0.00000     0.8046E+01     2.000     3   4.9444
      169     0.00000     0.3666E+01     2.000     3   4.9685
      170     0.00000     0.7558E+01     2.000     4   4.9711
      171     0.00000     0.3278E+01     2.000     5   4.9901
      172     0.00000     0.6227E+01     2.000     4   4.9945
      173     0.00000     0.5256E+01     2.000     4   4.9947
      174     0.00000     0.7309E+01     2.000     4   4.9977
      175     0.00000     0.4461E+01     2.000     5   5.0024
      176     0.00000     0.1184E+02     2.000     5   5.0026
      177     0.00000     0.4855E+01     2.000     3   5.0048
      178     0.00000     0.9184E+01     2.000     5   5.0048
      179     0.00000     0.6819E+01     2.000     4   5.0119
      180     0.00000     0.1182E+02     2.000     5   5.0115
      181     0.00000     0.4281E+01     2.000     3   5.0153
      182     0.00000     0.4096E+01     1.000     4   5.0167
      183     0.00000     0.1667E+02     2.000     5   5.0185
      184     0.00000     0.1286E+02     1.000     4   5.0193
      185     0.00000     0.1632E+02     2.000     5   5.0203
      186     0.00000     0.3244E+01     2.000     5   5.0235
      187     0.00000     0.1236E+02     2.000     5   5.0256
      189     0.00000     0.4833E+01     2.000     3   5.0326
      190     0.00000     0.3219E+01     2.000     4   5.0353
      191     0.00000     0.1107E+02     2.000     3   5.0399
      192     0.00000     0.5988E+01     2.000     4   5.0395
      194     0.00000     0.4582E+01     2.000     3   5.0482
      195     0.00000     0.1085E+02     2.000     3   5.0724
      196     0.00000     0.4477E+01     2.000     3   5.0833
      197     0.00000     0.5760E+01     2.000     4   5.0900
      198     0.00000     0.3435E+01     2.000     5   5.0905
      199     0.00000     0.2820E+01     2.000     4   5.0952
      200     0.00000     0.9330E+01     2.000     4   5.0976
      201     0.00000     0.6240E+01     1.000     4   5.1028
      202     0.00000     0.6192E+01     1.000     4   5.1094
      204     0.00000     0.4811E+01     2.000     4   5.1186
      205     0.00000     0.4281E+01     2.000     4   5.1194
      206     0.00000     0.5847E+01     2.000     5   5.1230
      207     0.00000     0.3320E+01     2.000     5   5.1265
      208     0.00000     0.6143E+01     1.000     4   5.1391
      209     0.00000     0.3133E+01     1.000     4   5.1502
      210     0.00000     0.4740E+01     2.000     3   5.1594
      211     0.00000     0.6136E+01     1.000     4   5.1614
      212     0.00000     0.4787E+01     1.000     4   5.1646
      213     0.00000     0.3021E+01     1.000     4   5.1656
      214     0.00000     0.1008E+02     1.000     4   5.1671
      215     0.00000     0.5437E+01     2.000     3   5.1765
      216     0.00000     0.5565E+01     2.000     4   5.1913
      218     0.00000     0.4367E+01     2.000     4   5.1964
      219     0.00000     0.4708E+01     1.000     4   5.1973
      220     0.00000     0.9856E+01     1.000     4   5.2001
      221     0.00000     0.5290E+01     2.000     3   5.2119
      222     0.00000     0.8074E+01     2.000     5   5.2224
      224     0.00000     0.2965E+01     2.000     4   5.2270
      225     0.00000     0.8639E+01     2.000     4   5.2382
      226     0.00000     0.1128E+02     2.000     5   5.2438
      227     0.00000     0.5719E+01     2.000     5   5.2473
      228     0.00000     0.4295E+01     2.000     4   5.2514
      230     0.00000     0.6134E+01     2.000     6   5.2517
      231     0.00000     0.6281E+01     2.000     5   5.2520
      232     0.00000     0.2985E+01     2.000     4   5.2576
      233     0.00000     0.3779E+01     2.000     4   5.2577
      234     0.00000     0.6113E+01     2.000     4   5.2580
      235     0.00000     0.9669E+01     2.000     4   5.2595
      237     0.00000     0.7842E+01     2.000     5   5.2672
      238     0.00000     0.5831E+01     2.000     5   5.2684
      239     0.00000     0.1113E+02     2.000     5   5.2693
      240     0.00000     0.6537E+01     2.000     4   5.2716
      241     0.00000     0.3811E+01     1.000     6   5.2727
      242     0.00000     0.1195E+02     1.000     6   5.2730
      243     0.00000     0.2722E+01     2.000     4   5.2751
      244     0.00000     0.3246E+01     2.000     4   5.2746
      245     0.00000     0.5451E+01     2.000     5   5.2790
      247     0.00000     0.1607E+02     1.000     6   5.2822
      250     0.00000     0.6034E+01     2.000     6   5.2844
      251     0.00000     0.6073E+01     2.000     4   5.2855
      252     0.00000     0.1520E+02     1.000     6   5.2853
      253     0.00000     0.3792E+01     1.000     6   5.2864
      254     0.00000     0.1220E+02     1.000     6   5.2865
      255     0.00000     0.5486E+01     2.000     4   5.3014
      256     0.00000     0.1011E+02     2.000     4   5.3038
      258     0.00000     0.6385E+01     2.000     4   5.3071
      259     0.00000     0.4049E+01     2.000     4   5.3078
      260     0.00000     0.4990E+01     2.000     5   5.3181
      261     0.00000     0.2149E+02     2.000     5   5.3186
      263     0.00000     0.2077E+02     2.000     5   5.3206
      264     0.00000     0.3799E+01     2.000     4   5.3229
      265     0.00000     0.3926E+01     2.000     5   5.3244
      266     0.00000     0.6771E+01     2.000     5   5.3271
      267     0.00000     0.5145E+01     2.000     3   5.3297
      268     0.00000     0.5370E+01     2.000     4   5.3362
      269     0.00000     0.9823E+01     2.000     4   5.3396
      270     0.00000     0.3932E+01     2.000     3   5.3475
      271     0.00000     0.8005E+01     2.000     5   5.3491
      272     0.00000     0.5517E+01     2.000     5   5.3492
      274     0.00000     0.7255E+01     2.000     5   5.3518
      275     0.00000     0.1302E+02     2.000     5   5.3530
      276     0.00000     0.3723E+01     2.000     4   5.3534
      278     0.00000     0.3065E+01     2.000     4   5.3548
      279     0.00000     0.6324E+01     2.000     6   5.3554
      280     0.00000     0.4298E+01     2.000     5   5.3600
      281     0.00000     0.3596E+01     2.000     3   5.3624
      282     0.00000     0.3062E+01     2.000     4   5.3750
      283     0.00000     0.8141E+01     2.000     4   5.3831
      285     0.00000     0.6302E+01     2.000     6   5.3902
      286     0.00000     0.1268E+02     2.000     5   5.3913
      287     0.00000     0.3224E+01     2.000     4   5.3949
      288     0.00000     0.2976E+01     2.000     4   5.3946
      289     0.00000     0.8283E+01     2.000     4   5.4001
      291     0.00000     0.4491E+01     2.000     4   5.4110
      292     0.00000     0.4190E+01     2.000     3   5.4112
      293     0.00000     0.6550E+01     2.000     4   5.4154
      294     0.00000     0.1442E+02     2.000     5   5.4202
      295     0.00000     0.3603E+01     2.000     5   5.4229
      296     0.00000     0.3212E+01     2.000     4   5.4244
      297     0.00000     0.5281E+01     2.000     4   5.4282
      299     0.00000     0.8066E+01     2.000     4   5.4351
      300     0.00000     0.5792E+01     2.000     5   5.4347
      301     0.00000     0.3673E+01     2.000     5   5.4372
      302     0.00000     0.3811E+01     2.000     5   5.4395
      303     0.00000     0.2673E+01     1.000     4   5.4405
      304     0.00000     0.4730E+01     2.000     4   5.4411
      306     0.00000     0.1331E+02     2.000     5   5.4480
      307     0.00000     0.6392E+01     2.000     4   5.4510
      308     0.00000     0.6961E+01     2.000     3   5.4575
      309     0.00000     0.3814E+01     2.000     4   5.4594
      310     0.00000     0.8431E+01     2.000     3   5.4607
      311     0.00000     0.1473E+02     1.000     6   5.4626
      312     0.00000     0.8436E+01     2.000     3   5.4681
      313     0.00000     0.4638E+01     2.000     6   5.4709
      314     0.00000     0.1984E+02     1.000     6   5.4715
      315     0.00000     0.7689E+01     2.000     3   5.4722
      317     0.00000     0.6350E+01     2.000     5   5.4805
      318     0.00000     0.1757E+02     2.000     5   5.4810
      319     0.00000     0.1829E+02     2.000     5   5.4832
      320     0.00000     0.2917E+01     2.000     4   5.4932
