# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      125     0.00000     0.1701E+02     1.000     6   4.4318
      126     0.00000     0.4217E+01     2.000     3   4.4324
      127     0.00000     0.4622E+02     2.000     4   4.4357
      128     0.00000     0.5599E+01     2.000     3   4.4441
      130     0.00000     0.7967E+02     2.000     5   4.4529
      132     0.00000     0.1304E+02     1.000     6   4.4590
      133     0.00000     0.5515E+02     2.000     5   4.4606
      134     0.00000     0.3113E+01     2.000     4   4.4629
      136     0.00000     0.7437E+02     2.000     5   4.4770
      137     0.00000     0.1301E+02     2.000     4   4.4787
      138     0.00000     0.1185E+02     1.000     6   4.4873
      139     0.00000     0.4376E+02     2.000     4   4.4894
      140     0.00000     0.5291E+02     2.000     5   4.4957
      141     0.00000     0.7261E+02     2.000     5   4.4991
      142     0.00000     0.2687E+02     1.000     4   4.5045
      143     0.00000     0.8344E+02     2.000     5   4.5063
      144     0.00000     0.1206E+02     1.000     2   4.5111
      145     0.00000     0.8715E+02     2.000     5   4.5161
      146     0.00000     0.2151E+02     1.000     4   4.5166
      147     0.00000     0.7139E+02     2.000     5   4.5219
      148     0.00000     0.4164E+02     2.000     4   4.5296
      150     0.00000     0.8078E+02     2.000     5   4.5312
      151     0.00000     0.3932E+01     2.000     3   4.5328
      152     0.00000     0.4518E+02     2.000     5   4.5413
      153     0.00000     0.7089E+02     2.000     5   4.5447
      155     0.00000     0.4475E+02     2.000     5   4.5584
      156     0.00000     0.4242E+02     2.000     5   4.5620
      157     0.00000     0.2840E+01     1.000     2   4.5649
      158     0.00000     0.3841E+01     2.000     3   4.5710
      159     0.00000     0.2758E+01     1.000     4   4.5714
      160     0.00000     0.3456E+02     2.000     3   4.5725
      161     0.00000     0.5666E+01     1.000     4   4.5765
      162     0.00000     0.4031E+01     2.000     4   4.5783
      163     0.00000     0.5642E+01     1.000     4   4.5801
      164     0.00000     0.7526E+02     2.000     5   4.5893
      165     0.00000     0.6550E+02     2.000     5   4.5970
      166     0.00000     0.6994E+01     2.000     4   4.5983
      167     0.00000     0.3977E+01     2.000     4   4.6029
      168     0.00000     0.4133E+02     2.000     5   4.6079
      169     0.00000     0.3373E+01     2.000     3   4.6229
      170     0.00000     0.3680E+01     1.000     4   4.6252
      171     0.00000     0.3149E+02     1.000     4   4.6339
      172     0.00000     0.5414E+01     2.000     4   4.6433
      173     0.00000     0.6371E+02     2.000     5   4.6550
      174     0.00000     0.9907E+01     2.000     3   4.6563
      175     0.00000     0.6988E+02     2.000     5   4.6672
      176     0.00000     0.6929E+02     1.000     6   4.6692
      178     0.00000     0.5708E+01     2.000     5   4.6820
      179     0.00000     0.6665E+01     2.000     3   4.6879
      180     0.00000     0.8459E+01     2.000     4   4.6890
      181     0.00000     0.5697E+02     1.000     6   4.6941
      182     0.00000     0.5512E+01     2.000     5   4.6985
      183     0.00000     0.5210E+02     1.000     6   4.6992
      184     0.00000     0.2992E+01     1.000     4   4.7067
      186     0.00000     0.1345E+02     2.000     4   4.7116
      188     0.00000     0.7997E+01     2.000     3   4.7142
      189     0.00000     0.5664E+02     1.000     6   4.7162
      190     0.00000     0.7171E+01     2.000     3   4.7205
      191     0.00000     0.1047E+03     2.000     6   4.7250
      193     0.00000     0.3392E+01     2.000     3   4.7279
      194     0.00000     0.1566E+02     2.000     4   4.7293
      195     0.00000     0.5882E+01     2.000     3   4.7405
      196     0.00000     0.3112E+01     2.000     3   4.7442
      198     0.00000     0.1995E+02     2.000     5   4.7472
      199     0.00000     0.9450E+01     1.000     4   4.7476
      201     0.00000     0.8908E+01     2.000     5   4.7489
      202     0.00000     0.1375E+02     2.000     4   4.7529
      204     0.00000     0.1010E+03     2.000     6   4.7585
      205     0.00000     0.3158E+01     2.000     4   4.7602
      206     0.00000     0.3102E+01     2.000     4   4.7711
