# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      123     0.00000     0.7987E+02     2.000     5   4.3971
      124     0.00000     0.7695E+02     2.000     5   4.3980
      125     0.00000     0.5351E+01     2.000     3   4.4012
      126     0.00000     0.1149E+02     2.000     3   4.4085
      127     0.00000     0.5722E+01     2.000     3   4.4120
      128     0.00000     0.5453E+02     2.000     5   4.4145
      129     0.00000     0.2708E+02     1.000     4   4.4161
      131     0.00000     0.5325E+02     2.000     5   4.4258
      132     0.00000     0.2167E+02     1.000     4   4.4322
      133     0.00000     0.7426E+02     2.000     5   4.4377
      134     0.00000     0.1229E+02     1.000     6   4.4381
      135     0.00000     0.4314E+02     2.000     4   4.4441
      136     0.00000     0.4188E+02     2.000     4   4.4473
      137     0.00000     0.8714E+02     2.000     5   4.4482
      138     0.00000     0.2854E+01     1.000     2   4.4494
      139     0.00000     0.8092E+02     2.000     5   4.4550
      140     0.00000     0.7195E+02     2.000     5   4.4657
      141     0.00000     0.1001E+02     2.000     3   4.4692
      142     0.00000     0.7172E+02     2.000     5   4.4720
      143     0.00000     0.8233E+02     2.000     5   4.4730
      144     0.00000     0.7298E+01     2.000     5   4.4821
      145     0.00000     0.4074E+01     2.000     3   4.4849
      146     0.00000     0.4119E+01     2.000     4   4.4846
      147     0.00000     0.4412E+02     2.000     5   4.4960
      148     0.00000     0.1120E+02     1.000     2   4.4970
      149     0.00000     0.1167E+02     2.000     3   4.4981
      150     0.00000     0.2865E+01     1.000     4   4.5002
      151     0.00000     0.4377E+02     2.000     5   4.5035
      152     0.00000     0.4194E+02     2.000     5   4.5135
      153     0.00000     0.9724E+01     2.000     4   4.5146
      154     0.00000     0.2733E+01     1.000     2   4.5183
      155     0.00000     0.7371E+01     2.000     4   4.5192
      156     0.00000     0.2944E+01     2.000     4   4.5193
      157     0.00000     0.4202E+02     2.000     5   4.5306
      158     0.00000     0.3819E+01     1.000     4   4.5381
      159     0.00000     0.1294E+02     1.000     4   4.5468
      160     0.00000     0.7357E+02     2.000     5   4.5490
      161     0.00000     0.3280E+01     2.000     3   4.5499
      162     0.00000     0.6507E+02     2.000     5   4.5620
      163     0.00000     0.3617E+01     2.000     3   4.5666
      164     0.00000     0.6538E+02     2.000     5   4.5727
      165     0.00000     0.1020E+02     2.000     3   4.5836
      166     0.00000     0.6891E+02     2.000     5   4.5889
      168     0.00000     0.3276E+01     2.000     4   4.5926
      169     0.00000     0.2403E+02     2.000     3   4.6210
      170     0.00000     0.6518E+02     1.000     6   4.6210
      171     0.00000     0.7097E+01     2.000     3   4.6215
      172     0.00000     0.5362E+02     1.000     6   4.6290
      174     0.00000     0.3481E+01     2.000     3   4.6374
      175     0.00000     0.5874E+02     1.000     6   4.6391
      176     0.00000     0.5912E+02     1.000     6   4.6396
      177     0.00000     0.7591E+01     2.000     3   4.6419
      178     0.00000     0.6340E+01     2.000     3   4.6427
      179     0.00000     0.4972E+01     1.000     4   4.6582
      180     0.00000     0.5927E+01     2.000     3   4.6607
      181     0.00000     0.1510E+02     2.000     4   4.6603
      182     0.00000     0.3970E+01     2.000     4   4.6608
      183     0.00000     0.1294E+02     2.000     4   4.6670
      184     0.00000     0.7052E+01     2.000     3   4.6716
      187     0.00000     0.8762E+01     2.000     5   4.6758
      188     0.00000     0.3204E+01     2.000     3   4.6780
      189     0.00000     0.1035E+03     2.000     6   4.6795
      190     0.00000     0.7182E+01     2.000     4   4.6836
      191     0.00000     0.1023E+03     2.000     6   4.6873
      193     0.00000     0.4792E+01     1.000     4   4.6911
      194     0.00000     0.9272E+01     2.000     5   4.6948
      195     0.00000     0.1168E+02     2.000     4   4.6983
      196     0.00000     0.1381E+02     2.000     4   4.6995
      198     0.00000     0.8108E+01     2.000     3   4.7143
      201     0.00000     0.5004E+02     1.000     6   4.7251
      202     0.00000     0.3063E+01     2.000     4   4.7267
      203     0.00000     0.4753E+02     1.000     6   4.7294
      204     0.00000     0.4985E+02     1.000     6   4.7381
      206     0.00000     0.8977E+01     2.000     4   4.7430
      207     0.00000     0.1962E+02     1.000     4   4.7451
      208     0.00000     0.5703E+02     1.000     6   4.7456
      209     0.00000     0.9025E+01     2.000     4   4.7486
      210     0.00000     0.6753E+01     2.000     4   4.7636
      211     0.00000     0.1246E+02     2.000     4   4.7647
      212     0.00000     0.9193E+01     2.000     4   4.7659
      213     0.00000     0.9417E+01     2.000     4   4.7673
      214     0.00000     0.3573E+01     1.000     4   4.7749
      215     0.00000     0.9719E+01     2.000     4   4.7765
      216     0.00000     0.3021E+01     2.000     3   4.7785
      217     0.00000     0.3511E+01     2.000     4   4.7785
      218     0.00000     0.3670E+01     2.000     5   4.7908
      219     0.00000     0.1431E+02     2.000     5   4.7970
      220     0.00000     0.4464E+01     2.000     3   4.7987
      221     0.00000     0.4046E+01     2.000     5   4.8038
      222     0.00000     0.3374E+01     2.000     3   4.8046
      223     0.00000     0.1251E+02     2.000     3   4.8072
      224     0.00000     0.8351E+01     2.000     4   4.8160
      225     0.00000     0.1648E+02     2.000     4   4.8173
      226     0.00000     0.1640E+02     2.000     4   4.8188
      227     0.00000     0.1771E+02     2.000     4   4.8262
      229     0.00000     0.6557E+01     2.000     4   4.8283
      230     0.00000     0.1764E+02     2.000     4   4.8332
      231     0.00000     0.8443E+01     2.000     4   4.8362
      233     0.00000     0.4735E+01     2.000     4   4.8373
      234     0.00000     0.1817E+02     2.000     4   4.8376
      235     0.00000     0.5806E+01     2.000     3   4.8412
      236     0.00000     0.6305E+01     2.000     6   4.8408
      237     0.00000     0.3244E+02     2.000     5   4.8431
      238     0.00000     0.1812E+02     2.000     4   4.8457
