# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      126     0.00000     0.3203E+01     1.000     2   4.4208
      127     0.00000     0.6068E+01     2.000     3   4.4244
      128     0.00000     0.4663E+02     2.000     4   4.4392
      130     0.00000     0.1154E+02     2.000     3   4.4631
      131     0.00000     0.1020E+02     1.000     6   4.4636
      132     0.00000     0.1184E+02     1.000     6   4.4672
      133     0.00000     0.3650E+01     2.000     3   4.4750
      134     0.00000     0.2438E+02     1.000     4   4.4761
      135     0.00000     0.3493E+01     2.000     3   4.4790
      136     0.00000     0.6414E+02     2.000     5   4.4814
      137     0.00000     0.6799E+02     2.000     5   4.4830
      138     0.00000     0.7313E+02     2.000     5   4.4864
      139     0.00000     0.2168E+02     1.000     4   4.4889
      140     0.00000     0.7017E+02     2.000     5   4.4975
      141     0.00000     0.3772E+02     2.000     4   4.4981
      142     0.00000     0.7908E+02     2.000     5   4.4988
      143     0.00000     0.1230E+02     2.000     4   4.5005
      144     0.00000     0.4562E+02     2.000     5   4.5023
      146     0.00000     0.5233E+02     2.000     5   4.5054
      147     0.00000     0.8642E+01     2.000     5   4.5106
      148     0.00000     0.3655E+01     2.000     3   4.5116
      149     0.00000     0.8844E+02     2.000     5   4.5143
      150     0.00000     0.2562E+02     1.000     4   4.5327
      152     0.00000     0.1005E+02     2.000     3   4.5368
      153     0.00000     0.4185E+02     2.000     4   4.5423
      154     0.00000     0.4099E+02     2.000     5   4.5429
      155     0.00000     0.1228E+02     1.000     2   4.5467
      156     0.00000     0.2151E+02     1.000     4   4.5477
      157     0.00000     0.6165E+02     2.000     5   4.5496
      158     0.00000     0.3462E+01     2.000     3   4.5514
      159     0.00000     0.7125E+02     2.000     5   4.5541
      160     0.00000     0.4525E+02     2.000     5   4.5589
      161     0.00000     0.2889E+01     1.000     2   4.5860
      162     0.00000     0.2760E+01     1.000     4   4.5918
      163     0.00000     0.5570E+01     1.000     4   4.5914
      164     0.00000     0.3556E+01     2.000     4   4.5930
      165     0.00000     0.5549E+01     1.000     4   4.5947
      166     0.00000     0.6549E+01     2.000     4   4.5962
      167     0.00000     0.2830E+01     1.000     4   4.5964
      168     0.00000     0.3748E+02     2.000     5   4.5970
      169     0.00000     0.3308E+01     1.000     4   4.6005
      170     0.00000     0.3350E+01     2.000     4   4.6027
      171     0.00000     0.3803E+01     2.000     4   4.6045
      172     0.00000     0.2845E+01     1.000     2   4.6112
      173     0.00000     0.7355E+01     2.000     3   4.6148
      174     0.00000     0.6436E+01     2.000     4   4.6256
      175     0.00000     0.4023E+02     2.000     5   4.6278
      176     0.00000     0.3032E+02     2.000     3   4.6351
      177     0.00000     0.5355E+01     2.000     3   4.6355
      178     0.00000     0.5626E+02     2.000     5   4.6442
      179     0.00000     0.2774E+01     1.000     2   4.6520
      180     0.00000     0.8674E+01     1.000     4   4.6528
      181     0.00000     0.3176E+01     1.000     4   4.6547
      182     0.00000     0.6627E+02     2.000     5   4.6569
      183     0.00000     0.8300E+01     2.000     3   4.6589
      184     0.00000     0.3362E+01     2.000     3   4.6623
      185     0.00000     0.2753E+01     1.000     2   4.6648
      186     0.00000     0.3126E+01     2.000     3   4.6690
      187     0.00000     0.1214E+02     2.000     3   4.6745
      188     0.00000     0.6121E+02     2.000     5   4.6743
      189     0.00000     0.6611E+01     2.000     5   4.6746
      190     0.00000     0.2668E+01     1.000     4   4.6774
      191     0.00000     0.3494E+01     2.000     3   4.6796
      192     0.00000     0.7091E+02     2.000     5   4.6893
      193     0.00000     0.6159E+01     2.000     3   4.6900
      194     0.00000     0.8351E+01     2.000     4   4.6927
      195     0.00000     0.3418E+01     2.000     4   4.6964
      196     0.00000     0.1432E+02     1.000     4   4.6970
      197     0.00000     0.3081E+01     2.000     4   4.7018
      198     0.00000     0.4434E+02     1.000     6   4.7052
      199     0.00000     0.4805E+02     1.000     6   4.7079
      200     0.00000     0.1440E+02     2.000     4   4.7105
      201     0.00000     0.3575E+01     2.000     3   4.7123
      202     0.00000     0.8548E+01     2.000     3   4.7144
      203     0.00000     0.4944E+02     1.000     6   4.7210
      205     0.00000     0.2596E+02     1.000     4   4.7235
      206     0.00000     0.5546E+02     1.000     6   4.7247
      207     0.00000     0.1654E+02     2.000     4   4.7262
      208     0.00000     0.4676E+01     2.000     4   4.7322
      209     0.00000     0.1038E+02     2.000     3   4.7362
      213     0.00000     0.5012E+01     2.000     3   4.7464
      214     0.00000     0.5883E+01     2.000     3   4.7548
      216     0.00000     0.8150E+01     2.000     5   4.7642
      217     0.00000     0.8674E+02     2.000     6   4.7651
      218     0.00000     0.6972E+01     2.000     4   4.7669
      219     0.00000     0.9841E+01     2.000     5   4.7671
      220     0.00000     0.8727E+01     2.000     5   4.7685
      221     0.00000     0.1835E+02     2.000     5   4.7687
      222     0.00000     0.9818E+02     2.000     6   4.7693
      223     0.00000     0.1026E+02     2.000     4   4.7700
