cluster,n_total,n_with_stats,volume_A3_n,volume_A3_mean,volume_A3_std,volume_A3_min,volume_A3_q25,volume_A3_median,volume_A3_q75,volume_A3_max,q_tetra_ca_n,q_tetra_ca_mean,q_tetra_ca_std,q_tetra_ca_min,q_tetra_ca_q25,q_tetra_ca_median,q_tetra_ca_q75,q_tetra_ca_max,q_tetra_coord_n,q_tetra_coord_mean,q_tetra_coord_std,q_tetra_coord_min,q_tetra_coord_q25,q_tetra_coord_median,q_tetra_coord_q75,q_tetra_coord_max
0,296,296,296,20.631821621621622,9.907697279562564,3.6653,12.33915,19.5111,29.01695,46.2502,296,0.585983445945946,0.13328688360385713,0.2843,0.488475,0.5244,0.6915749999999999,0.8815,296,0.9787314189189191,0.03438365801550512,0.5906,0.97445,0.98545,0.991525,0.998
1,287,287,287,19.459106271777,9.015821119938009,0.7892,14.83205,19.5377,24.14,44.4702,287,0.5212191637630662,0.15374545736581863,0.2702,0.4375,0.4964,0.6048,0.9081,287,0.9785637630662021,0.023260836007389714,0.7097,0.9742,0.9832,0.98985,0.9991
2,268,268,268,17.37850335820896,10.106134258626502,1.4554,9.22355,16.3782,21.26425,47.5316,268,0.5222917910447761,0.11503280391866127,0.2798,0.47335,0.4894,0.5398000000000001,0.854,268,0.9757861940298507,0.021148693452984813,0.8351,0.96805,0.9811,0.9894,0.9985
3,482,482,482,16.402057053941906,10.115114024097801,0.6591,8.854375000000001,13.86565,21.643725,45.2607,482,0.5329533195020747,0.11834160921832776,0.2793,0.47325,0.4857,0.547925,0.8397,482,0.978496265560166,0.026680768917656056,0.7201,0.975725,0.98475,0.9902,0.9992
4,95,95,95,10.315814736842105,4.279968648211989,6.3442,8.95705,9.1502,9.30295,31.0869,95,0.4873063157894737,0.03304870667276379,0.3282,0.48219999999999996,0.4853,0.48775,0.6372,95,0.9884094736842106,0.006333155423462186,0.9572,0.9882,0.9895,0.9912,0.9981
5,675,675,675,17.579908444444442,8.971144727367882,0.3868,9.20975,17.7746,22.9491,43.5567,675,0.5336438518518519,0.138346592574646,0.2539,0.4692,0.4945,0.5921000000000001,0.9052,675,0.9759638518518517,0.030330901440614556,0.5815,0.97295,0.9821,0.98965,0.9993
6,141,141,141,18.70084042553192,10.292032615854488,0.9938,11.1853,18.6334,28.4696,44.3869,141,0.565423404255319,0.14676732666245945,0.2867,0.4734,0.5073,0.6894,0.92,141,0.9745751773049645,0.04699806266722182,0.5179,0.974,0.9823,0.9907,0.997
7,457,457,457,19.253635667396065,8.436904546030924,0.1051,13.3812,19.766,24.0462,45.8376,457,0.5172892778993434,0.16816619799358792,0.2688,0.3407,0.4908,0.5893,0.9109,457,0.9765866520787746,0.015892167302492658,0.8329,0.9696,0.9783,0.9881,0.9994
8,248,248,248,15.319993548387098,9.06558599985933,0.1375,8.1867,13.94805,20.065375000000003,44.313,248,0.5295383064516128,0.09863918335171466,0.2961,0.47785,0.4923,0.535725,0.8275,248,0.9758116935483871,0.03524166545764641,0.6003,0.96885,0.9833,0.991225,0.9997
9,58,58,58,17.307029310344827,9.813725061818701,2.1027,8.285625,16.8382,28.401675,34.346,58,0.559151724137931,0.14447033252466046,0.2781,0.4745,0.49665,0.663025,0.8209,58,0.983755172413793,0.011396523553619519,0.9345,0.977025,0.9886,0.9910749999999999,0.9963
