# k chi
0.000000000000000000e+00 8.064654000000000877e+00
2.544031311154598685e-02 8.170537855185909137e+00
5.088062622309197369e-02 8.275978843444224964e+00
7.632093933463796054e-02 8.369068765166339574e+00
1.017612524461839474e-01 8.461283643835617596e+00
1.272015655577299342e-01 8.541734054794520858e+00
1.526418786692759211e-01 8.627129904109589020e+00
1.780821917808219079e-01 8.755203054794520767e+00
2.035225048923678948e-01 8.878339696673188897e+00
2.289628180039138816e-01 8.970760283757337916e+00
2.544031311154598685e-01 9.048258571428570818e+00
2.798434442270058553e-01 9.054461428571425330e+00
3.052837573385518422e-01 9.032694452054794709e+00
3.307240704500978290e-01 8.904227739726028545e+00
3.561643835616438158e-01 8.734595705479453187e+00
3.816046966731898027e-01 8.436240363013698840e+00
4.070450097847357895e-01 8.085544402152642363e+00
4.324853228962817764e-01 7.598181271037182327e+00
4.579256360078277632e-01 7.055845532289628963e+00
4.833659491193737501e-01 6.392027117416829718e+00
5.088062622309197369e-01 5.680646855185910837e+00
5.342465753424656683e-01 4.879427547945208943e+00
5.596868884540117106e-01 4.050772483072409003e+00
5.851272015655577530e-01 3.177499670939333498e+00
6.105675146771036843e-01 2.307958058023484416e+00
6.360078277886496156e-01 1.443667762524465159e+00
6.614481409001956580e-01 6.206207798434453249e-01
6.868884540117417004e-01 -1.520177093933477996e-01
7.123287671232876317e-01 -8.456235493150684457e-01
7.377690802348335630e-01 -1.455178793933461723e+00
7.632093933463796054e-01 -1.956300932925634894e+00
7.886497064579256477e-01 -2.357022048189823415e+00
8.140900195694715791e-01 -2.634240568698629659e+00
8.395303326810175104e-01 -2.811970887876712233e+00
8.649706457925635528e-01 -2.868386313894324857e+00
8.904109589041095951e-01 -2.839960605479451949e+00
9.158512720156555265e-01 -2.709456382778865802e+00
9.412915851272014578e-01 -2.517200960078278094e+00
9.667318982387475002e-01 -2.254294193542074609e+00
9.921722113502935425e-01 -1.954615674951076132e+00
1.017612524461839474e+00 -1.622330473385519722e+00
1.043052837573385405e+00 -1.275553412720158430e+00
1.068493150684931337e+00 -9.354789400547980360e-01
1.093933463796477490e+00 -5.979223708180050334e-01
1.119373776908023421e+00 -2.991271789745605925e-01
1.144814090019569353e+00 -1.246938813307294988e-02
1.170254403131115506e+00 2.143494171232886436e-01
1.195694716242661437e+00 4.258471294520551065e-01
1.221135029354207369e+00 5.681079650684929261e-01
1.246575342465753300e+00 6.962649924657531297e-01
1.272015655577299231e+00 7.571222962817999447e-01
1.297455968688845385e+00 8.075107542074361211e-01
1.322896281800391316e+00 8.016114279843442603e-01
1.348336594911937247e+00 7.894579035225050001e-01
1.373776908023483401e+00 7.379694792563600281e-01
1.399217221135029332e+00 6.837292307240703249e-01
1.424657534246575263e+00 6.090802123287669678e-01
1.450097847358121195e+00 5.337721562622311788e-01
