# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      126     0.00000     0.1132E+02     2.000     3   4.4631
      127     0.00000     0.1075E+02     1.000     6   4.4636
      128     0.00000     0.1038E+02     1.000     6   4.4672
      129     0.00000     0.3637E+01     2.000     3   4.4750
      130     0.00000     0.6935E+02     2.000     5   4.4814
      131     0.00000     0.8655E+01     2.000     5   4.4824
      132     0.00000     0.8165E+01     2.000     3   4.4849
      133     0.00000     0.6854E+02     2.000     5   4.4864
      134     0.00000     0.6556E+02     2.000     5   4.4975
      135     0.00000     0.6659E+02     2.000     5   4.4999
      136     0.00000     0.1165E+02     2.000     4   4.5005
      137     0.00000     0.3546E+01     2.000     3   4.5010
      138     0.00000     0.4929E+02     2.000     5   4.5023
      139     0.00000     0.4904E+02     2.000     5   4.5054
      140     0.00000     0.8133E+02     2.000     5   4.5143
      141     0.00000     0.8045E+02     2.000     5   4.5157
      142     0.00000     0.2493E+02     1.000     4   4.5185
      143     0.00000     0.2076E+02     1.000     4   4.5313
      144     0.00000     0.2434E+02     1.000     4   4.5327
      146     0.00000     0.4025E+02     2.000     4   4.5359
      147     0.00000     0.3180E+01     2.000     3   4.5381
      148     0.00000     0.4015E+02     2.000     4   4.5423
      149     0.00000     0.1226E+02     1.000     2   4.5467
      150     0.00000     0.2063E+02     1.000     4   4.5477
      151     0.00000     0.6710E+02     2.000     5   4.5496
      152     0.00000     0.3397E+01     2.000     3   4.5514
      153     0.00000     0.6716E+02     2.000     5   4.5541
      154     0.00000     0.4215E+02     2.000     5   4.5589
      155     0.00000     0.4194E+02     2.000     5   4.5598
      156     0.00000     0.2872E+01     1.000     2   4.5860
      157     0.00000     0.2673E+01     1.000     4   4.5918
      158     0.00000     0.5153E+01     1.000     4   4.5914
      159     0.00000     0.3176E+01     2.000     4   4.5930
      160     0.00000     0.5133E+01     1.000     4   4.5947
      161     0.00000     0.2722E+01     1.000     4   4.5964
      162     0.00000     0.3211E+01     2.000     4   4.6027
      163     0.00000     0.3641E+01     2.000     4   4.6045
      164     0.00000     0.1181E+02     1.000     2   4.6059
      165     0.00000     0.2828E+01     1.000     2   4.6112
      166     0.00000     0.7201E+01     2.000     3   4.6148
      167     0.00000     0.6284E+01     2.000     4   4.6173
      168     0.00000     0.3802E+02     2.000     5   4.6182
      169     0.00000     0.6115E+01     2.000     4   4.6256
      170     0.00000     0.3746E+02     2.000     5   4.6278
      171     0.00000     0.3249E+01     2.000     3   4.6335
      172     0.00000     0.2995E+02     2.000     3   4.6351
      173     0.00000     0.5198E+01     2.000     3   4.6355
      174     0.00000     0.3202E+01     1.000     4   4.6428
      175     0.00000     0.2759E+01     1.000     2   4.6520
      176     0.00000     0.3034E+01     1.000     4   4.6547
      177     0.00000     0.3317E+01     2.000     3   4.6623
      178     0.00000     0.2737E+01     1.000     2   4.6648
      179     0.00000     0.5753E+02     2.000     5   4.6654
      180     0.00000     0.5339E+01     1.000     4   4.6686
      181     0.00000     0.3117E+01     2.000     3   4.6690
      182     0.00000     0.1183E+02     2.000     3   4.6745
      183     0.00000     0.5672E+02     2.000     5   4.6743
      184     0.00000     0.6092E+01     2.000     5   4.6746
      185     0.00000     0.2687E+01     2.000     4   4.6761
      187     0.00000     0.6578E+02     2.000     5   4.6782
      188     0.00000     0.6636E+02     2.000     5   4.6893
      189     0.00000     0.7803E+01     2.000     4   4.6927
      190     0.00000     0.1361E+02     1.000     4   4.6970
      191     0.00000     0.4585E+02     1.000     6   4.7052
      192     0.00000     0.4430E+02     1.000     6   4.7079
      193     0.00000     0.3545E+01     2.000     3   4.7123
      195     0.00000     0.8302E+01     2.000     3   4.7136
      196     0.00000     0.8466E+01     2.000     3   4.7144
      197     0.00000     0.3484E+01     2.000     3   4.7209
      198     0.00000     0.4952E+02     1.000     6   4.7210
      200     0.00000     0.2472E+02     1.000     4   4.7235
      201     0.00000     0.4946E+02     1.000     6   4.7247
      202     0.00000     0.1607E+02     2.000     4   4.7262
      203     0.00000     0.1578E+02     2.000     4   4.7273
      204     0.00000     0.4467E+01     2.000     4   4.7322
      206     0.00000     0.5887E+01     2.000     3   4.7470
      207     0.00000     0.5802E+01     2.000     3   4.7548
      209     0.00000     0.8314E+01     2.000     5   4.7642
      210     0.00000     0.8914E+02     2.000     6   4.7651
      211     0.00000     0.8866E+01     2.000     5   4.7671
      212     0.00000     0.1666E+02     2.000     5   4.7687
      213     0.00000     0.8859E+02     2.000     6   4.7693
      214     0.00000     0.6729E+01     2.000     4   4.7771
      216     0.00000     0.2720E+01     2.000     3   4.7846
      217     0.00000     0.6509E+01     2.000     3   4.7852
      219     0.00000     0.9521E+01     2.000     4   4.7874
      220     0.00000     0.6686E+01     2.000     4   4.7893
      221     0.00000     0.7586E+01     2.000     5   4.7897
      222     0.00000     0.1093E+02     2.000     4   4.7912
      223     0.00000     0.8031E+01     2.000     5   4.7963
      224     0.00000     0.6737E+01     2.000     3   4.7975
      225     0.00000     0.9360E+01     2.000     4   4.7993
      226     0.00000     0.1067E+02     2.000     4   4.8020
      227     0.00000     0.1554E+02     2.000     3   4.8098
      229     0.00000     0.3986E+02     1.000     6   4.8123
      230     0.00000     0.3961E+02     1.000     6   4.8158
      231     0.00000     0.4064E+01     2.000     5   4.8165
